Treatment Variable,Target Variable,Method,Control,Treatment Level,ATE,Lower Bound,Upper Bound
ACEHVSEX,MENTHLTH,Neural Network (MLP),Never,Once,4.521992183337856,3.865531564144051,5.178452802531662
ACEHVSEX,MENTHLTH,Neural Network (MLP),Never,More than once,5.4877801579727,4.990624089412229,5.98493622653317
ACEHVSEX,MENTHLTH,BaseXRegressor (XGBoost),Never,Once,3.3384641667501493,2.782092423009245,3.8948359104910537
ACEHVSEX,MENTHLTH,BaseXRegressor (XGBoost),Never,More than once,4.705432062842808,4.250239721981493,5.160624403704122
ACEHVSEX,MENTHLTH,BaseDRLearner (XGBoost),Never,Once,3.815214954001835,3.2174843462749663,4.412945561728703
ACEHVSEX,MENTHLTH,BaseDRLearner (XGBoost),Never,More than once,4.988135324271723,4.5215394223159455,5.4547312262275005
ACEHVSEX,MENTHLTH,BaseRLearner (XGBoost),Never,Once,3.3205451395006977,3.3177921268403376,3.323298152161058
ACEHVSEX,MENTHLTH,BaseRLearner (XGBoost),Never,More than once,4.639444670104885,4.63736768455608,4.64152165565369
ACEDEPRS,ADDEPEV3,BaseDRLearner (XGBoost),No,Yes,0.2623922105393307,0.2530682562912808,0.2717161647873807
ACEDEPRS,ADDEPEV3,BaseRLearner (XGBoost),No,Yes,0.261194290721791,0.2611550813876856,0.2612335000558964
ACEDRINK,ADDEPEV3,BaseDRLearner (XGBoost),No,Yes,0.1157914320475051,0.1078120404886889,0.1237708236063212
ACEDRINK,ADDEPEV3,BaseRLearner (XGBoost),No,Yes,0.1160589322916163,0.1160256297214303,0.1160922348618024
ACEDRUGS,ADDEPEV3,BaseDRLearner (XGBoost),No,Yes,0.1616151281636397,0.1496297359660421,0.1736005203612373
ACEDRUGS,ADDEPEV3,BaseRLearner (XGBoost),No,Yes,0.1570844458832193,0.157033618730036,0.1571352730364027
ACEPRISN,ADDEPEV3,BaseDRLearner (XGBoost),No,Yes,0.1086935614861806,0.0950576411940041,0.1223294817783572
ACEPRISN,ADDEPEV3,BaseRLearner (XGBoost),No,Yes,0.1142135701676165,0.114155450324207,0.1142716900110259
ACEDIVRC,ADDEPEV3,LRS Regressor,No,Yes,0.0744425855528786,0.0663973108494112,0.0824878602563461
ACEDIVRC,ADDEPEV3,LRS Regressor,No,Parents not married,0.0985092634196115,0.0668346788464607,0.1301838479927622
ACEDIVRC,ADDEPEV3,Neural Network (MLP),No,Yes,0.0717911351963684,0.0640045078933197,0.0795777624994171
ACEDIVRC,ADDEPEV3,Neural Network (MLP),No,Parents not married,0.1295598406591762,0.0974265266146376,0.1616931547037148
ACEDIVRC,ADDEPEV3,BaseXRegressor (XGBoost),No,Yes,0.0601128564065965,0.0524841588517673,0.0677415539614257
ACEDIVRC,ADDEPEV3,BaseXRegressor (XGBoost),No,Parents not married,0.0567000832159675,0.030748797012253,0.082651369419682
ACEDIVRC,ADDEPEV3,BaseDRLearner (XGBoost),No,Yes,0.0607051182069272,0.0530627749834086,0.0683474614304458
ACEDIVRC,ADDEPEV3,BaseDRLearner (XGBoost),No,Parents not married,0.030463103781067,0.0023503289715803,0.0585758785905538
ACEDIVRC,ADDEPEV3,BaseRLearner (XGBoost),No,Yes,0.0591073812333949,0.0590755155166299,0.0591392469501598
ACEDIVRC,ADDEPEV3,BaseRLearner (XGBoost),No,Parents not married,0.0593832589773412,0.059253815184833,0.0595127027698494
ACEPUNCH,ADDEPEV3,BaseDRLearner (XGBoost),Never,Once,0.0754498622884116,0.0581603859496106,0.0927393386272126
ACEPUNCH,ADDEPEV3,BaseDRLearner (XGBoost),Never,More than once,0.1389502261567285,0.1281418732168009,0.1497585790966562
ACEPUNCH,ADDEPEV3,BaseRLearner (XGBoost),Never,Once,0.0819382629623753,0.0818630602696131,0.0820134656551374
ACEPUNCH,ADDEPEV3,BaseRLearner (XGBoost),Never,More than once,0.1352820756586537,0.1352362306234852,0.1353279206938221
